country,year,gdppc,growth5
Italy,2019,35407.242,1.228233969356718
Italy,2020,32385.326,-0.7459593878502813
Italy,2021,34827.137,0.41085871372645855
Italy,2022,36224.293,0.8317024330366962
Japan,1958,5243.0,5.85919577703955
Japan,1959,5665.0,6.596982149599273
Japan,1960,6354.0,7.5434494280437026
Japan,1961,7055.0,8.467171353270908
Japan,1962,7614.0,8.779221692659146
Japan,1963,8176.0,9.292964233490842
Japan,1964,9035.0,9.785667953693267
Japan,1965,9459.0,8.28283133365697
Japan,1966,10370.0,8.008105299262326
Japan,1967,11400.0,8.407266996984465
Japan,1968,12725.0,9.25048701654827
Japan,1969,14145.0,9.37925449157615
Japan,1970,15484.0,10.358957029636073
Japan,1971,16004.0,9.066143549103245
Japan,1972,17110.0,8.459858034185807
Japan,1973,18226.0,7.450073025950443
Japan,1974,17765.0,4.662824810256505
Japan,1975,18082.0,3.1508142271030604
Japan,1976,18600.0,3.052108073826809
Japan,1977,19230.0,2.3636716203549346
Japan,1978,20060.0,1.9360762385673747
Japan,1979,20982.0,3.384714833818525
Japan,1980,21404.0,3.4307551477885445
Japan,1981,21924.0,3.3430725941666406
Japan,1982,22440.0,3.1356271192550356
Japan,1983,22805.0,2.5982208059876832
Japan,1984,23548.0,2.334348468697267
Japan,1985,24437.0,2.6858469023289144
Japan,1986,24992.0,2.6540867644504473
Japan,1987,25904.0,2.9126581374967486
Japan,1988,27393.0,3.734186188706201
Japan,1989,28601.0,3.96458831674944
Japan,1990,29949.0,4.151825749874538
Japan,1991,30837.432,4.293066846123961
Japan,1992,30977.814,3.642239174308526
Japan,1993,30920.66,2.4523280820667903
Japan,1994,31135.428,1.7125926071261066
Japan,1995,31887.277,1.2621214661420632
Japan,1996,32784.156,1.2318469591198866
Japan,1997,33038.293,1.2962496494526299
Japan,1998,32558.188,1.0374307736114696
Japan,1999,32394.516,0.796007716641256
Japan,2000,33210.81,0.81668351805253
Japan,2001,33246.39,0.28040921072371994
Japan,2002,33195.402,0.09492682073679592
Japan,2003,33619.95,0.6438790919737647
Japan,2004,34313.56,1.157679073151785
Japan,2005,34857.754,0.9727039803996806
Japan,2006,35333.113,1.2249291454765832
Japan,2007,35892.71,1.574726946923799
Japan,2008,35496.227,1.092055230817146
Japan,2009,33590.01,-0.42533109410604064
Japan,2010,35011.402,0.08800211906077049
Japan,2011,34979.0,-0.20125098126151375
Japan,2012,35537.438,-0.19875179587117708
Japan,2013,36312.348,0.4556637960527965
Japan,2014,36440.215,1.642224087089672
Japan,2015,37053.176,1.1400554627790882
Japan,2016,37384.56,1.3390845642559324
Japan,2017,38078.96,1.3910901796155395
Japan,2018,38403.68,1.1262032463182692
Japan,2019,38332.934,1.0178744505688897
Japan,2020,36826.64,-0.12257628873609816
Japan,2021,37678.277,0.15664128509793596
Japan,2022,38268.79,0.09950513067871203
Spain,1958,5168.911,4.938712556963898
Spain,1959,5079.3,3.2817479150892837
Spain,1960,5031.5664,2.5481629924856586
Spain,1961,5581.4375,3.2180257734200746
Spain,1962,6075.9097,4.423570533762522
Spain,1963,6631.5728,5.109869632768405
Spain,1964,6938.4917,6.436906029530354
Spain,1965,7411.985,8.055347584909978
Spain,1966,7872.8496,7.1216313231521555
Spain,1967,8207.074,6.197772549074454
Spain,1968,8598.881,5.333151803297587
Spain,1969,9299.07,6.031495962514866
Spain,1970,9502.939,5.095635813808785
Spain,1971,9885.877,4.659016565570595
Spain,1972,10787.692,5.620455917644773
Spain,1973,11629.702,6.224655071754781
Spain,1974,12379.95,5.890225885759848
Spain,1975,12613.324,5.826472973189167
Spain,1976,13044.986,5.70260316872071
Spain,1977,13335.212,4.331217922821606
Spain,1978,13568.676,3.1320800789818914
Spain,1979,13678.094,2.0143668966269512
Spain,1980,14005.935,2.1166386911861013
Spain,1981,13895.314,1.270965286654424
Spain,1982,14046.1045,1.0441544815857906
Spain,1983,14240.944,0.9718378698214236
Spain,1984,14313.326,0.912042317890438
